beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-0.046401 3.937493 -9.071017 -5.202858 -17.94605 -6.830004 
-0.1253665 3.911533 -9.328517 -5.039375 -23.22353 -4.482556 
0.2041636 3.932654 -10.33902 -5.155349 -23.50047 -3.872216 
-0.01854845 3.998973 -9.150679 -5.838118 -23.00587 -3.841084 
-0.01216249 3.99866 -9.507648 -6.691904 -22.04615 -4.958497 
-0.04818021 3.936666 -10.71523 -4.461457 -23.98224 -4.312343 
0.1862842 3.91464 -10.37021 -5.231789 -26.08259 -2.893435 
0.01505309 3.942914 -9.296183 -4.292099 -21.23806 -6.942218 
-0.0413819 4.006352 -8.819519 -4.898142 -24.31315 -2.604936 
-0.2310827 4.087351 -9.415547 -5.278467 -15.0914 -4.273194 
-0.1598445 3.836058 -8.795732 -4.86226 -19.42817 -5.471491 
-0.23263 3.963674 -8.822127 -5.389668 -13.85404 -6.714467 
0.06063484 3.966401 -8.96299 -6.481737 -11.86969 -16.36729 
0.002615045 4.009057 -10.9444 -4.085468 -23.31056 -4.353028 
-0.003955807 3.904806 -11.59507 -4.647741 -23.09925 -4.92067 
-0.04903135 3.984448 -9.198014 -4.769103 -14.75833 -14.02226 
-0.07621914 3.919336 -9.635891 -5.217085 -23.49345 -3.352955 
-0.08996367 4.01837 -9.396503 -5.183506 -23.00262 -4.364982 
-0.001507374 4.008904 -9.160482 -5.869482 -22.95263 -3.864438 
0.221436 3.966697 -9.024123 -7.265784 -21.43193 -4.603497 
0.271182 3.935427 -13.05599 -4.914054 -21.07473 -5.314201 
-0.1136156 3.998311 -9.993602 -4.416597 -23.38149 -4.493886 
-0.106301 3.960221 -9.641315 -4.957213 -18.2227 -8.674619 
0.0313225 3.959164 -9.740916 -4.248639 -23.36918 -3.802556 
0.06781907 3.963011 -9.973035 -4.32088 -25.11962 -4.236743 
-0.1702024 3.955086 -8.830378 -5.043947 -24.11159 -2.756872 
-0.0330319 3.924769 -10.4034 -4.570837 -26.72731 -2.146518 
0.1278912 3.959124 -10.00623 -4.798885 -23.74042 -3.842515 
0.1273887 3.921478 -9.878302 -4.88212 -21.94434 -4.748181 
0.3328165 4.010983 -9.360584 -5.205149 -22.32449 -3.678874 
-0.02075491 3.88095 -9.245705 -4.562828 -24.31101 -2.901377 
-0.007789814 3.91871 -9.701042 -4.213069 -20.85314 -5.6445 
0.2653813 3.926682 -9.488978 -4.947873 -25.11851 -3.371126 
-0.08683244 4.006458 -9.267821 -4.799906 -23.82353 -4.225486 
0.1245742 3.976423 -10.23501 -6.143529 -19.68395 -4.621962 
-0.03102692 4.043008 -9.730922 -4.848933 -22.35858 -4.557078 
-0.06787485 3.945822 -8.802348 -5.610045 -18.73582 -5.768431 
0.3534487 3.892448 -7.975195 -6.602354 -15.17391 -5.543846 
-0.08866 3.914495 -9.496384 -6.016242 -17.04024 -4.331458 
-0.03539254 3.953016 -9.306703 -4.77609 -17.14074 -0.7971383 
-0.09740748 3.922261 -9.421767 -5.222693 -21.62226 -7.73833 
-0.02799753 3.971414 -8.553742 -4.705106 -21.97117 -4.451515 
