"Delta_1" "Delta_2"
-2.916308 5.599466
-2.846085 5.460542
-3.198475 4.847669
-3.225897 5.207448
-3.305421 5.611163
-3.1131 4.437091
-3.122582 3.768132
-2.967627 5.688548
-3.101997 5.976045
-3.092124 5.078081
-2.933408 5.577666
-2.930385 5.714522
-2.914391 5.141411
-2.85597 5.350386
-3.026402 4.797274
-3.052443 5.118021
-2.999481 4.978762
-3.013016 5.174948
-3.016239 4.530532
-3.01454 5.244566
-3.072413 4.299161
-3.038446 3.388321
-2.93013 5.143653
-2.823105 4.814088
-2.735524 4.829993
-2.785051 4.95283
-2.842394 5.078688
-2.765244 5.194974
-2.866502 5.538091
-2.842054 5.791839
-2.857145 4.703612
-2.959739 4.585313
-2.988125 5.11452
-3.120329 5.583141
-3.148441 6.766177
-3.201342 5.948865
-3.215749 4.843588
-3.248396 4.943103
-3.121524 6.379505
-3.114149 6.03108
-3.059344 5.710234
-2.947219 5.068966
-3.030626 4.570218
-2.989959 5.195479
-2.991443 4.008857
-2.995594 3.915471
-3.12944 5.090077
-3.09201 6.152282
-3.086497 5.3875
-3.033243 3.968546
-2.873404 3.888207
-2.957007 4.686449
-2.855771 4.671533
-2.804013 5.245987
-2.672644 4.950114
-2.629695 3.992514
-2.738243 3.687932
-2.804608 4.285982
-2.824134 5.033721
-2.874444 4.167169
-3.000205 4.656328
-2.905887 4.271468
-2.797756 5.669142
-2.84607 4.534846
-2.892188 5.331778
-2.945378 5.982657
-2.851407 5.294552
-2.823457 5.206891
-2.716172 5.230383
-2.916936 4.615926
-2.932846 4.770834
-2.789042 4.060871
-2.79902 4.705879
-2.998608 5.318113
-3.040542 4.924546
-3.267755 4.629856
-3.056761 4.335124
-3.095223 4.726414
-3.134287 4.921425
-3.122739 4.986784
-2.907924 4.19673
-2.84302 5.216823
-2.837677 5.434463
-2.814451 5.79237
-2.874379 5.723215
-2.869047 5.118478
-2.871284 4.291392
-2.941 4.594969
-2.955917 5.762943
-3.027156 5.930779
-3.133752 6.165499
-3.007273 5.465674
-3.032811 4.991121
-3.017178 5.647916
-3.11283 4.882239
-3.039875 3.572253
-3.054625 5.56602
-3.024238 4.569309
-2.846976 4.875782
-2.822039 4.630085
-2.720564 4.618593
-2.679345 4.472922
-2.737061 4.242247
-2.747508 5.582382
-2.65399 5.418785
-2.753853 4.470646
-2.609458 4.543801
-2.640307 3.861554
-2.695437 4.060611
-2.651385 4.894173
-2.943128 6.261749
-2.927606 5.552276
-2.865818 4.621439
-2.778733 4.501403
-2.927601 3.97296
-2.873894 4.66238
-2.828668 5.293912
-2.798448 5.479372
-2.907007 4.570627
-2.833632 3.739495
-2.736548 4.521658
-2.761471 4.006777
-2.89487 3.971406
-2.843034 4.597205
-2.907476 4.61943
-2.938858 6.049979
-2.994699 5.967625
-3.061076 5.135919
-3.000213 5.600078
-3.064878 5.738651
-3.042573 5.462229
-3.109764 5.687683
-2.899849 3.781035
-2.983718 4.566615
-2.917805 5.634322
-2.946692 4.554058
-2.790063 5.139813
-2.805574 4.691258
-2.769341 4.943245
-3.066317 5.72121
-3.032734 5.174898
-3.006112 6.190819
-3.17095 6.33367
-3.09608 5.849696
-3.192014 4.498943
-3.219163 6.326387
-3.154514 5.769889
-3.194159 5.434219
-2.957802 4.815867
-2.955561 4.146397
-2.946081 4.19316
-2.952828 5.178355
-2.942612 4.746044
-3.058907 5.81813
-3.191871 5.842613
-3.12576 6.702535
-3.283463 5.850672
-3.101652 5.169054
-3.126315 5.495862
-3.176821 4.612844
-3.21935 5.578166
-3.233283 5.085601
-3.212655 5.893623
-3.044467 4.756553
-2.935182 4.738032
-2.771448 3.696089
-2.684321 3.905494
-2.817478 4.43283
-2.868292 5.610753
-2.822857 5.734375
-3.032131 4.500545
-2.88835 4.14552
-2.858417 4.209585
-2.948271 4.786337
-2.909562 4.639873
-2.843165 4.13946
-2.894648 4.488814
-3.006456 5.059555
-3.041734 5.305929
-3.146825 4.94374
