"tau2_1" "tau2_2" "tau2_3" "tau2_4"
24326202 0.03876 0.09376938 0.1174736
5.278029 0.03494356 0.04521306 0.1024933
55.25769 0.0227903 0.04885511 0.1154575
0.4815529 0.1653944 0.05167903 0.1441117
2.680769 0.4893606 0.07260012 0.2104808
5.112492 0.06952201 0.04792973 0.2159963
8.804215 0.01601259 0.09004745 0.154168
3.622491 0.07961624 0.02353441 0.1344948
67331040 0.1655849 0.04892374 0.09987554
0.1150654 0.04836024 0.1109479 0.1837502
2752.357 0.02749594 0.0505624 0.119512
457025.8 0.0211478 0.06159255 0.1152564
229.6859 0.04347902 0.2158267 0.1357381
967.0932 0.06140753 0.09322217 0.1098105
2.04887 0.04277627 0.09259613 0.1183749
4.07795 0.02544584 0.06174454 0.09543164
20875.27 0.1476808 0.05558262 0.09432056
3.668237e+27 0.1787678 0.208893 0.07136364
2.568693 0.1336204 0.07690223 0.1614157
4511885381 0.04884222 0.1300088 0.1759986
0.262504 0.2243459 0.2992533 0.09083441
89300.97 0.05921219 0.1370075 0.0775188
6.667711 0.1032048 0.08826914 0.1093784
0.3363948 0.1035362 0.07320484 0.1337693
12.50794 0.01978071 0.05818926 0.1014048
31.53126 0.0683985 0.06775282 0.07405786
0.2050872 0.1380179 0.04012864 0.07304024
0.6060209 0.07508657 0.05285051 0.08606047
3.489633 0.04635263 0.06833123 0.1147473
377.0686 0.1402066 0.05796265 0.07066463
0.8504851 0.1126727 0.035134 0.1044185
68354.44 0.04678975 0.04168588 0.1081732
